 MARCH8 , FBXO17 , TFRC , NSUN5 , MT1M , RPRM , ACOX2 , HOMER1 
-0.1,-0.21,0.52,0.42,1.91,-0.35,1.13,0.65
-0.14,-0.29,1.09,1.17,-0.42,0.67,-0.95,0.01
1.83,1.29,2.13,1.11,-1.93,-0.31,-0.11,1.74
0.5,0.56,0.28,-0.76,-1.25,0.23,0.02,0.41
1,0.36,1.08,-3.21,-1.28,0.61,-0.55,3
-0.14,0.57,0.39,1.3,-0.39,-0.29,-0.4,-0.24
0.85,0.93,-0.62,0.81,-0.55,0.54,-0.91,-0.43
-0.52,1.57,1.35,0.76,0.71,-1.92,-0.84,1
-1.24,1.48,-2.55,0.09,-0.94,-0.04,-0.47,-1.36
0.27,0.41,0.28,-0.1,-0.1,1.3,1.64,-0.77
0.33,1.55,0.09,-0.64,-0.21,0.02,-0.09,0.28
-1.14,0.74,0.27,-0.27,1.39,0.86,-0.62,0.07
0.37,-0.32,0.33,1.39,-0.13,0.22,0.78,-0.72
0.56,-0.53,2.16,1.93,0.66,-0.62,1.03,1.74
-1.91,1.97,-0.95,-0.69,-0.89,0.39,0.24,-1.66
-0.35,0.56,-0.74,0.69,0.14,-0.36,3.07,-1.6
-0.7,0.26,1,-0.78,-0.95,0.35,0.7,-0.05
0.64,0.19,1.51,1.43,1.38,-1.46,-0.65,0.68
-0.22,-0.46,0.46,0.7,0.23,-1.53,2.76,-0.86
0.99,0.5,1.21,-0.52,0.56,2.32,-0.25,-0.14
-1.11,-2.34,-0.42,0.78,0.19,-0.43,-0.1,0
-1.67,0.93,1.75,-1.06,0.54,2.15,-1.01,-0.09
0.79,2.79,1.13,-0.1,-0.26,1.49,-0.52,0.95
0.66,0,0.09,0.24,-0.39,0.25,0.95,1.76
-0.88,0.58,-1.89,-1.54,-1.71,-0.09,-0.63,-0.86
2.2,0.86,1.07,0,0.45,-0.05,2.78,1.16
0.32,0.08,0.15,-0.2,0.74,1.96,0.1,0.63
-2.04,-0.03,-0.48,1.29,0.75,-0.74,0.81,-1.22
-0.85,1.78,-0.72,0.66,-1.14,-0.63,-0.72,1.07
0.29,-0.56,-0.84,1.69,0.44,-0.11,0.78,-0.19
-1.08,0.1,-1.07,0.4,-1.3,-0.22,-0.49,-0.82
-0.95,0.24,-0.26,-0.94,0.09,-1.15,-0.01,0.5
0.94,1.39,-0.04,0.29,1.98,0.7,0.49,-0.76
0.51,0.69,0.91,0.32,-1.39,1.78,0.12,-0.14
0.58,-1.21,1.88,1.01,0.27,1.15,0.77,-0.3
-1.13,-1.03,0.15,0.14,0.93,-1.02,0.44,-0.84
0.49,1.54,-0.27,-0.36,-1.29,0.78,-0.81,0.09
0.45,-0.76,0.7,0.8,1.49,-0.25,0.68,0.83
0.97,-0.03,-0.25,-1.03,0.06,1.41,-0.24,0.44
-0.23,-0.47,-0.29,1.48,0.19,-1.16,-0.16,2.29
0.69,1.01,0.51,-0.02,1.61,-0.67,0.81,-0.09
-1.11,0.98,0.02,-0.03,1.25,1.29,-0.45,-0.51
2.12,-0.09,0.27,-0.35,0.14,0.29,-0.23,0.96
-1.65,-0.4,-0.69,-0.69,0.75,0.76,1.15,-0.46
-0.45,-0.23,0.26,0.98,0.83,0.07,0.77,0
0.16,-0.11,0.18,0.61,1.58,-1.3,-0.29,0.58
-0.07,0.76,-0.76,1.22,0.54,0.09,1.12,0.43
